country_owner,sets,size,overlapped
Australia,Civil/Military,3,FALSE
Australia,Commercial/Military,1,FALSE
Brazil,Civil/Government,1,FALSE
Brazil,Commercial/Military,1,FALSE
Canada,Civil/Government,4,FALSE
Chile,Government/Military,1,FALSE
China,Civil/Government,1,FALSE
China,Commercial/Government,5,FALSE
China,Government/Military,50,FALSE
Egypt,Commercial/Military,1,FALSE
France/Italy,Government/Military,1,FALSE
Germany,Civil/Government,4,FALSE
Germany,Commercial/Government,1,FALSE
Greece,Commercial/Government,1,FALSE
India,Commercial/Government,1,FALSE
Israel,Commercial/Military,4,FALSE
Italy,Civil/Military,1,FALSE
Italy,Commercial/Military,1,FALSE
Italy,Government/Military,4,FALSE
Japan,Civil/Government,1,FALSE
Japan,Commercial/Military,1,FALSE
Luxembourg,Government/Military,1,FALSE
Mexico,Government/Military,1,FALSE
Multinational,Civil/Government,10,FALSE
Pakistan,Commercial/Government,1,FALSE
Qatar,Commercial/Military,1,FALSE
Russia,Civil/Government,2,FALSE
Russia,Commercial/Government,3,FALSE
Russia,Commercial/Military,32,FALSE
South Korea,Commercial/Government,4,FALSE
South Korea,Commercial/Military,1,FALSE
Spain,Civil/Commercial,1,FALSE
Spain,Commercial/Government/Military,1,FALSE
Spain,Commercial/Military,1,FALSE
Spain,Government/Military,1,FALSE
Taiwan/USA,Civil/Government,5,FALSE
Turkmenistan/Monaco,Commercial/Government,1,FALSE
United Arab Emirates,Commercial/Military,2,FALSE
United Kingdom,Commercial/Government,1,FALSE
United Kingdom/ESA,Commercial/Government,1,FALSE
USA,Civil/Commercial,4,FALSE
USA,Civil/Government,19,FALSE
USA,Civil/Military,6,FALSE
USA,Commercial/Government,78,FALSE
USA,Commercial/Military,35,FALSE
USA,Government/Military,1,FALSE
USA/United Kingdom/Italy,Civil/Government,1,FALSE
Australia,Civil,3,TRUE
Australia,Military,4,TRUE
Brazil,Civil,1,TRUE
Brazil,Military,1,TRUE
Chile,Government,1,TRUE
Chile,Military,1,TRUE
Egypt,Commercial,1,TRUE
Egypt,Military,1,TRUE
Greece,Government,1,TRUE
Luxembourg,Government,1,TRUE
Luxembourg,Military,1,TRUE
Multinational,Civil,10,TRUE
Pakistan,Commercial,1,TRUE
Qatar,Commercial,1,TRUE
Qatar,Military,1,TRUE
Taiwan/USA,Civil,5,TRUE
Turkmenistan/Monaco,Commercial,1,TRUE
Turkmenistan/Monaco,Government,1,TRUE
United Kingdom/ESA,Commercial,1,TRUE
United Kingdom/ESA,Government,1,TRUE
USA/United Kingdom/Italy,Civil,1,TRUE
USA/United Kingdom/Italy,Government,1,TRUE
Algeria,Government,5,FALSE
Argentina,Civil,1,FALSE
Argentina,Commercial,27,FALSE
Argentina,Government,2,FALSE
Australia,Commercial,11,FALSE
Austria,Civil,1,FALSE
Azerbaijan,Government,2,FALSE
Bangladesh,Government,1,FALSE
Belarus,Government,2,FALSE
Belgium,Civil,1,FALSE
Belgium,Commercial,1,FALSE
Bolivia,Government,1,FALSE
Brazil,Commercial,9,FALSE
Brazil,Government,4,FALSE
Bulgaria,Commercial,2,FALSE
Canada,Civil,5,FALSE
Canada,Commercial,38,FALSE
Canada,Government,12,FALSE
Canada,Military,1,FALSE
China,Civil,31,FALSE
China,Commercial,142,FALSE
China,Government,238,FALSE
China,Military,139,FALSE
China/Brazil,Government,2,FALSE
China/France,Commercial,1,FALSE
China/France,Government,1,FALSE
China/Italy,Government,1,FALSE
Colombia,Military,1,FALSE
Czech Republic,Commercial,2,FALSE
Czech Republic,Government,1,FALSE
Denmark,Civil,1,FALSE
Denmark,Commercial,1,FALSE
Denmark,Government,1,FALSE
Denmark,Military,1,FALSE
Ecuador,Civil,1,FALSE
Egypt,Government,3,FALSE
ESA,Civil,1,FALSE
ESA,Commercial,29,FALSE
ESA,Government,32,FALSE
ESA/USA,Government,1,FALSE
ESA/USA/Russia,Government,1,FALSE
Estonia,Civil,1,FALSE
Ethiopia,Government,2,FALSE
Finland,Civil,2,FALSE
Finland,Commercial,13,FALSE
France,Civil,2,FALSE
France,Commercial,5,FALSE
France,Military,14,FALSE
France/Belgium/Sweden,Commercial,2,FALSE
France/Israel,Government,1,FALSE
France/Italy,Government,2,FALSE
France/Italy,Military,2,FALSE
France/Italy/Belgium/Spain/Greece,Military,2,FALSE
France/USA,Government,1,FALSE
Germany,Civil,20,FALSE
Germany,Commercial,12,FALSE
Germany,Government,10,FALSE
Germany,Military,7,FALSE
Greece,Commercial,2,FALSE
Greece/United Kingdom,Commercial,1,FALSE
Hungary,Commercial,1,FALSE
India,Civil,3,FALSE
India,Commercial,2,FALSE
India,Government,45,FALSE
India,Military,9,FALSE
India/Canada,Government,1,FALSE
India/France,Government,2,FALSE
Indonesia,Commercial,5,FALSE
Indonesia,Government,3,FALSE
Iran,Military,1,FALSE
Iraq,Civil,1,FALSE
Israel,Civil,1,FALSE
Israel,Commercial,7,FALSE
Israel,Government,3,FALSE
Israel,Military,11,FALSE
Italy,Civil,4,FALSE
Italy,Commercial,3,FALSE
Italy,Government,5,FALSE
Italy,Military,8,FALSE
Japan,Civil,21,FALSE
Japan,Commercial,35,FALSE
Japan,Government,34,FALSE
Japan,Military,2,FALSE
Japan/Singapore,Civil,1,FALSE
Japan/Singapore,Commercial,1,FALSE
Jordan,Civil,1,FALSE
Kazakhstan,Civil,1,FALSE
Kazakhstan,Commercial,3,FALSE
Kazakhstan,Government,2,FALSE
Kuwait,Civil,1,FALSE
Laos,Government,1,FALSE
Lithuania,Commercial,2,FALSE
Luxembourg,Commercial,40,FALSE
Malaysia,Commercial,2,FALSE
Malaysia,Government,1,FALSE
Mauritius,Government,1,FALSE
Mexico,Civil,1,FALSE
Mexico,Commercial,1,FALSE
Mexico,Government,3,FALSE
Mexico,Military,3,FALSE
Morocco,Government,2,FALSE
Morocco/Germany,Government,1,FALSE
Multinational,Commercial,40,FALSE
Multinational,Government,21,FALSE
Netherlands,Civil,2,FALSE
Netherlands,Commercial,11,FALSE
Netherlands,Earth Observation,1,FALSE
Netherlands,Government,1,FALSE
New Zealand,Commercial,1,FALSE
Nigeria,Commercial,1,FALSE
Nigeria,Government,2,FALSE
Norway,Commercial,3,FALSE
Norway,Government,5,FALSE
Pakistan,Government,3,FALSE
Paraguay,Government,1,FALSE
Peru,Government,1,FALSE
Russia,Civil,10,FALSE
Russia,Commercial,72,FALSE
Russia,Government,21,FALSE
Russia,Military,101,FALSE
Russia/USA,Commercial,2,FALSE
Saudi Arabia,Civil,1,FALSE
Saudi Arabia,Commercial,7,FALSE
Saudi Arabia,Government,5,FALSE
Singapore,Civil,3,FALSE
Singapore,Commercial,3,FALSE
Singapore,Government,1,FALSE
Singapore/Taiwan,Commercial,1,FALSE
Slovenia,Civil,2,FALSE
South Africa,Civil,2,FALSE
South Africa,Military,1,FALSE
South Korea,Civil,2,FALSE
South Korea,Commercial,8,FALSE
South Korea,Government,10,FALSE
South Korea,Military,2,FALSE
Spain,Civil,2,FALSE
Spain,Commercial,13,FALSE
Spain,Government,8,FALSE
Spain,Military,4,FALSE
Sri Lanka,Civil,1,FALSE
Sudan,Government,1,FALSE
Sweden,Commercial,1,FALSE
Sweden,Government,1,FALSE
Switzerland,Civil,1,FALSE
Switzerland,Commercial,12,FALSE
Taiwan,Government,1,FALSE
Taiwan/USA,Government,11,FALSE
Thailand,Civil,1,FALSE
Thailand,Commercial,3,FALSE
Thailand,Government,1,FALSE
Thailand,Military,2,FALSE
Tunisia,Commercial,1,FALSE
Turkey,Civil,2,FALSE
Turkey,Commercial,5,FALSE
Turkey,Government,1,FALSE
Turkey,Military,2,FALSE
Ukraine,Civil,1,FALSE
United Arab Emirates,Civil,3,FALSE
United Arab Emirates,Commercial,5,FALSE
United Arab Emirates,Government,4,FALSE
United Arab Emirates,Military,3,FALSE
United Kingdom,Civil,1,FALSE
United Kingdom,Commercial,442,FALSE
United Kingdom,Government,2,FALSE
United Kingdom,Military,6,FALSE
United Kingdom/Netherlands,Commercial,1,FALSE
USA,Civil,57,FALSE
USA,Commercial,2620,FALSE
USA,Government,161,FALSE
USA,Military,231,FALSE
USA/Argentina,Commercial,4,FALSE
USA/Canada,Commercial,2,FALSE
USA/Canada/Japan,Government,1,FALSE
USA/France,Government,1,FALSE
USA/Germany,Government,2,FALSE
USA/Japan,Commercial,3,FALSE
USA/Japan,Government,2,FALSE
USA/Japan/Brazil,Government,1,FALSE
USA/Sweden,Military,1,FALSE
Venezuela,Government,2,FALSE
Vietnam,Government,5,FALSE
NA,,2,FALSE
